Lexeme	WC	Flexion
kaffi¦sorfik	N	{–sorfiup, –torfiup}, {–sorfiit, –torfiit}
kaffi¦soriartorpoq	V	{–soriartunngilaq, –toriartunngilaq}
kaffi¦sorniartarfik	N	{–sorniartarfiup, –torniartarfiup}, {–sorniartarfiit, –torniartarfiit}
kaffi¦sorpoq	V	{–sunngilaq, –tunngilaq}
kaffisunni	N	–p, –t
kaffit	N, pl.	-
kaka¦o	N	–up, –ut
kalk	N	–ip, –it
kalkeerunne¦q	N	–rup, –rit
kalki	N	–p, –t
kalkininne¦q	N	–rup, –rit
kalkitaqart¦oq	N	–up, –ut
kaloria	N	–p, –t
kam¦eeraq	N	{–eeqqap, –iaqqap}, {–eeqqat, –iaqqat}
kameernia¦q	N	–p, –t
kameerniart¦oq	N	–up, –ut
kamigi¦ppoq	V	–nngilaq
kamigissaa¦rpoq	V	–nngilaq
kamik¦oq	N	–up, –ut
kamil¦erpaa	V	–inngilaa
kamiliar¦aa	V	–inngilaa
kamili¦orpoq	V	–unngilaq
kamilisa¦rpoq	V	–nngilaq
kamillartaat	N	–ip, –it
kamillartart¦oq	N	–up, –ut
kamill¦erpoq	V	–inngilaq
kamillet¦e	N	–ip, {–er, –it}
kamilu¦ppoq	V	–nngilaq
kaminngorti¦ppaa	V	–nngilaa
kaminngu¦aq	N	–up, –it
kamissaaru¦ppoq	V	–tinngilaq
kammagiit	N, pl.	-
kammagiunnaa¦rpaa	V	–nngilaa
kammalaat	N, pl.	-
kammat	N, pl.	-
kandidat	N	–ip, –it
kaneli	N	–p, –t
kapitali	N	–p, –t
karakteri	N	–p, –t
karaterne¦q	N	–rup, –rit
karburator	N	–ip, –it
karburatori	N	–p, –t
kardusi	N	–p, –t
karreerniart¦oq	N	–up, –ut
karreqal¦erpoq	V	–inngilaq
karreqangaart¦oq	N	–up, –ut
karrertaajaaffilia¦q	N	–p, –t
karri	N	–p, –t
karri¦iaavoq	V	{–ajaanngilaq, –iaanngilaq}
karri¦iarnikut	N, pl.	{–ajarnikut, –iarnikut}
karri¦iarpaa	V	{–ajanngilaa, –ianngilaa}
karrit	N, pl.	-
karsersu¦aq	N	–up, –it
kars¦i	N	–ip, {–er, –it}
kars¦iaraasaq	N	{–eeraasap, –iaraasap}, {–eeraasat, –iaraasat}
karsimiittuutit	N, pl.	-
karsisi¦voq	V	–nngilaq
kartoffeli	N	–p, –t
kas¦eerpaa	V	–iinngilaa
kasiil¦erpaa	V	–inngilaa
kassettebåndoptager	N	–ip, –it
kassettebåndoptageri	N	–p, –t
katalogi	N	–p, –t
katederi	N	–p, –t
kemi	N	{–ip, –p}, {–it, –t}
kemi¦i	N	{–ip, –p}, {–it, –t}
kemikalia	N	–p, –t
kemiker	N	–ip, –it
kemikeri	N	–p, –t
kerubi	N	–p, –t
k¦ilometerilersuut	N	{–ilometerilersuutip, –ilometerilertuutip, –milersuutip, –milertuutip}, {–ilometerilersuutit, –ilometerilertuutit, –milersuutit, –milertuutit}
