Lexeme	WC	Flexion
ujarass¦iortoq	N	{–iortup, –aliortup}, {–iortut, –aliortut}
ujarassu¦aq	N	–up, –it
ujarasussu¦k	N	–up, –it
ujarattaat	N	–ip, –it
ujarattaat	N, pl.	-
ujarattaatissa¦q	N	–p, –t
ujaratta¦q	N	–p, –t
ujarattarfi¦k	N	–up, –it
ujaratta¦rpoq	V	–nngilaq
ujarattassa¦q	N	–p, –t
ujariag¦aa	V	–inngilaa
ujarianaqaaq	V	(no generation)
ujariana¦rpoq	V	–nngilaq
ujariarsivoq	V	(no generation)
ujariatsinaqaaq	V	(no generation)
ujariatsina¦rpoq	V	–nngilaq
ujariatsine¦q	N	–rup, –rit
ujariatsissutig¦aa	V	–inngilaa
ujariatsivallaanngilaq	V	(no generation)
ujariatsi¦voq	V	–nngilaq
ujariutu¦voq	V	–nngilaq
ujarlerfig¦aa	V	–inngilaa
ujarlerfi¦k	N	–up, –it
ujarlerne¦q	N	–rup, –rit
ujarl¦erpoq	V	–inngilaq
ujarlersart¦oq	N	–up, –ut
ujarlersita¦q	N	–p, –t
